id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos
57595570,24M12 (13/02/2017 - 01/07/2017),61026,5752190.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,False,False,True,False,74,5
1219966,35T12,25734,23841.0,,GRADUAÇÃO,2014,1,False,False,False,False,True,False,False,False,False,70,14
57594390,35M56,2055441,5758764.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,False,False,False,72,39
1235033,3T2345,2052852,16607,,GRADUAÇÃO,2014,2,False,False,True,True,True,False,False,False,False,68,20
57573648,246M12,20020,23835.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,False,True,False,108,33
1231236,24T34,25603,15496,,GRADUAÇÃO,2014,2,False,False,False,True,False,False,False,False,False,76,22
1240802,5N1234,2049855,5757009.0,,GRADUAÇÃO,2015,1,True,True,False,False,False,False,False,False,False,68,2
1231866,46T56 (21/07/2014 - 06/12/2014),2051709,5752962,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,76,23
57579269,24M34,25321,5757630.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,False,False,70,55
57575960,"5T34 (01/02/2016 - 16/04/2016),  7T34 (17/04/2016 - 23/04/2016),  5T34 (24/04/2016 - 18/06/2016)",55229,24989.0,,GRADUAÇÃO,2016,1,False,False,False,True,False,False,False,False,False,34,40
57588127,5M12 (28/07/2016 - 24/11/2016),56262,5758035.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,36,29
57569128,6T56 (22/10/2015 - 04/12/2015),53757,5757092.0,,GRADUAÇÃO,2015,2,False,False,True,False,False,False,False,False,False,12,12
57590460,2345M23456,43244,26172.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,345,7
1220338,2M56  35T12 (27/01/2014 - 14/06/2014),2051007,5755984.0,,GRADUAÇÃO,2014,1,False,False,False,False,True,True,False,False,False,102,36
57601046,7M123456,38208,25430.0,,STRICTO SENSU,2017,1,False,False,False,False,False,True,True,True,True,90,2
57586529,"5M456 (25/07/2016 - 31/08/2016), 5M456 (10/10/2016 - 10/12/2016)",57595,5757556.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,36,8
57590051,23456M123456,2043553,5753757.0,,STRICTO SENSU,2016,2,False,False,False,False,False,True,True,True,False,60,21
57600130,246N12 (13/02/2017 - 01/07/2017),55022,5756813.0,,GRADUAÇÃO,2017,1,False,True,False,False,False,False,False,False,False,98,71
57590083,35T34,54168,26044.0,,STRICTO SENSU,2016,2,False,False,False,True,False,False,False,False,False,70,4
57567011,2M234,2045612,5757187.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,True,True,False,51,25
57588592,2M2345,57578,5754372.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,76,16
57573607,46N12 (01/02/2016 - 18/06/2016),57606,5757747.0,,GRADUAÇÃO,2016,1,False,True,False,False,False,False,False,False,False,76,130
57587885,4M56 6M34,57703,5753059.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,68,20
57562539,56M123456  56T123456,59572,5752470.0,,STRICTO SENSU,2015,1,False,False,True,True,True,True,True,True,False,96,24
57575566,6M12  4T34 (01/02/2016 - 18/06/2016),54282,63327.0,,GRADUAÇÃO,2016,1,False,False,False,True,False,False,False,True,False,70,41
1222778,2T1234 (27/01/2014 - 14/06/2014),2055911,5752250.0,,GRADUAÇÃO,2014,1,False,False,False,True,True,False,False,False,False,72,6
57587056,6M345,2049850,5758596.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,54,8
1236846,"24M345 (28/07/2014 - 01/08/2014), 24M345 7M12345  7T123456  2N124 3456N1234 (04/08/2014 - 09/08/2014), 24M345 (11/08/2014 - 26/09/2014)",52526,16331,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,False,False,84,3
57595607,23456M123456  23456T1234 (13/02/2017 - 19/03/2017),60836,5752391.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,220,2
57585407,35N12,43328,5753053.0,,GRADUAÇÃO,2016,2,False,True,False,False,False,False,False,False,False,78,16
57598550,23456M123456  23456T123456 (15/05/2017 - 30/06/2017),54741,24854.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,408,4
57587523,24M12,27724,22809.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,72,35
57589404,5T123456,26386,5752488.0,,GRADUAÇÃO,2016,2,False,False,True,True,True,False,False,False,False,126,14
1239660,6T234,2046252,5757238.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,54,20
57585014,24T56,2054966,5752709.0,,GRADUAÇÃO,2016,2,False,False,True,False,False,False,False,False,False,72,24
1239363,23456M123456  23456T123456 (16/03/2015 - 26/04/2015),54732,5755870.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,True,True,True,False,324,3
57592088,6M2345,59716,5756340.0,,STRICTO SENSU,2016,2,False,False,False,False,False,True,True,True,False,64,9
1239598,24M12,26629,18042.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,False,True,False,76,13
1242876,3T34  24N34 (02/02/2015 - 20/06/2015),2051704,5752963.0,,GRADUAÇÃO,2015,1,True,False,False,True,False,False,False,False,False,114,35
57601227,6M2345,60245,5754342.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,True,False,68,11
1243003,5T1234,41854,5756833.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,68,28
57589755,5M34 (25/07/2016 - 17/12/2016),54065,23754.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,True,False,False,40,50
1244503,25M345 4M34 (02/02/2015 - 20/06/2015),58251,23832.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,True,False,False,136,6
57566756,6M56,40138,5757662.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,True,False,False,False,36,59
57590229,34M12345  34T1234 (16/11/2016 - 22/11/2016),62916,5752295.0,,GRADUAÇÃO,2016,2,False,False,False,True,True,True,True,True,False,18,6
1243323,"24N34 (02/02/2015 - 28/02/2015),  5T12  24N34 (01/03/2015 - 31/03/2015),  24N34 (01/04/2015 - 06/06/2015)",57624,5756073.0,,GRADUAÇÃO,2015,1,True,False,False,False,False,False,False,False,False,68,11
57581073,4T123456,54796,5752773.0,,STRICTO SENSU,2016,1,False,False,True,True,True,False,False,False,False,114,30
1234972,"246M3456 (21/07/2014 - 25/07/2014), 24M6 6M3456 (28/07/2014 - 26/09/2014)",52522,5752793,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,False,False,62,25
57559211,46M56,27952,18913.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,False,False,False,74,15
1240799,6M2345,2049855,5757390.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,True,True,False,68,10
57591098,"36M234 4M56  2T234 (14/11/2016 - 18/11/2016), 3M2345 4M5  3T2345 (21/11/2016 - 25/11/2016), 36M234 4M56  2T234 (28/11/2016 - 02/12/2016), 3M2345 4M5  3T2345 (05/12/2016 - 09/12/2016)",62407,5758626.0,,GRADUAÇÃO,2016,2,False,False,False,True,True,True,True,True,False,37,4
57565825,24M123 (26/10/2015 - 09/12/2015),56450,5757578.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,True,True,False,36,6
57589220,2M56,46951,18674.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,False,False,False,36,16
1234651,2345M34 (02/09/2014 - 14/10/2014),54279,5756732,,GRADUAÇÃO,2014,2,False,False,False,False,False,False,True,False,False,46,5
1235121,5M2345,25308,25917,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,True,False,76,17
57596337,24T234 6T23,21857,21585.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,False,False,False,False,135,20
57576480,35N34,41688,5756922.0,,GRADUAÇÃO,2016,1,True,False,False,False,False,False,False,False,False,68,31
1233457,6M1,54075,23816,,GRADUAÇÃO,2014,2,False,False,False,False,False,False,False,True,False,17,10
57575498,5N12 6N34,48065,5756616.0,,GRADUAÇÃO,2016,1,True,True,False,False,False,False,False,False,False,68,32
57584317,24N12,20120,5758034.0,,GRADUAÇÃO,2016,2,False,True,False,False,False,False,False,False,False,68,47
1230690,24N12,2049566,5755314,,GRADUAÇÃO,2014,2,False,True,False,False,False,False,False,False,False,72,20
57596452,4M3456,24626,23015.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,False,False,77,5
1221869,4N1234 (29/01/2014 - 04/06/2014),51566,5751852.0,,GRADUAÇÃO,2014,1,True,True,False,False,False,False,False,False,False,68,25
57572260,6T2345,59712,2260569.0,,STRICTO SENSU,2015,2,False,False,True,True,True,False,False,False,False,28,25
1232939,5T12 6T34,27440,5754352,,GRADUAÇÃO,2014,2,False,False,False,True,True,False,False,False,False,78,26
57574795,24T12,42066,19052.0,,GRADUAÇÃO,2016,1,False,False,False,False,True,False,False,False,False,76,38
57583435,6M1234  56T1234  5N1234,60252,37301.0,,STRICTO SENSU,2016,1,True,True,False,True,True,False,True,True,False,88,23
1229370,46T56,24832,5756292,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,74,38
57573760,3N1234,2050602,5752714.0,,GRADUAÇÃO,2016,1,True,True,False,False,False,False,False,False,False,72,21
57588108,6M3456 (29/07/2016 - 23/09/2016),54018,5758334.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,36,8
1243429,246N12,40005,5752211.0,,GRADUAÇÃO,2015,1,False,True,False,False,False,False,False,False,False,104,42
57590596,3M23456 6M456  3T23456 (29/08/2016 - 14/10/2016),61222,5758464.0,,GRADUAÇÃO,2016,2,False,False,True,True,True,True,True,True,False,91,1
57601121,2N1 6N34,2049854,5755753.0,,GRADUAÇÃO,2017,1,True,True,False,False,False,False,False,False,False,49,15
1220395,35T56 (27/01/2014 - 14/06/2014),2051701,5756078.0,,GRADUAÇÃO,2014,1,False,False,True,False,False,False,False,False,False,68,107
57585414,5M3456,26326,5758341.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,68,37
57574356,4M3456,2055445,5752181.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,True,True,False,False,76,1
57587225,"246M3456 (30/09/2016 - 30/09/2016), 7M23 (01/10/2016 - 01/10/2016), 246M3456 (02/10/2016 - 07/10/2016), 24M6 6M3456 (10/10/2016 - 10/12/2016)",52522,5753071.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,57,28
1244510,25M345 4M34 (02/02/2015 - 20/06/2015),58251,5755909.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,True,False,False,136,5
57603069,23T6,54885,5753585.0,,STRICTO SENSU,2017,1,False,False,True,False,False,False,False,False,False,33,6
1230173,5M2345,23846,18247,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,True,False,80,22
57593804,56N12,25734,5757542.0,,GRADUAÇÃO,2017,1,False,True,False,False,False,False,False,False,False,68,9
1218723,45T56,20470,20829.0,,GRADUAÇÃO,2014,1,False,False,True,False,False,False,False,False,False,72,8
1244761,5M2345,25308,130617.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,True,True,False,72,18
1233447,3T123,2049854,5751840,,GRADUAÇÃO,2014,2,False,False,False,True,True,False,False,False,False,57,12
57566742,4T2345,26969,22011.0,,GRADUAÇÃO,2015,2,False,False,True,True,True,False,False,False,False,80,11
57590951,35M56,2040707,22933.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,False,False,False,72,11
57600753,5T5634,61352,5756823.0,,STRICTO SENSU,2017,1,False,False,True,True,False,False,False,False,False,60,5
1239363,23456M123456  23456T123456 (16/03/2015 - 26/04/2015),54732,5755605.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,True,True,True,False,324,3
57594890,3M456 (13/02/2017 - 01/07/2017),54948,5758870.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,False,False,57,15
1230366,4M2345  245T2345,21874,18010,,GRADUAÇÃO,2014,2,False,False,True,True,True,True,True,True,False,276,12
57566190,24N12,27620,25431.0,,GRADUAÇÃO,2015,2,False,True,False,False,False,False,False,False,False,74,4
1225893,24M12,2037021,5756019.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,False,False,True,False,66,12
1242618,246T56 (02/02/2015 - 05/06/2015),48585,5757166.0,,GRADUAÇÃO,2015,1,False,False,True,False,False,False,False,False,False,100,100
1236283,2M34,2056220,24855,,STRICTO SENSU,2014,2,False,False,False,False,False,False,True,False,False,42,2
57588962,"245M23456 (08/08/2016 - 11/08/2016), 4M123 (17/08/2016 - 17/08/2016)",56477,5753655.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,18,3
57588507,3M12,2021404,22889.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,40,1
57565947,2N34,57635,18780.0,,GRADUAÇÃO,2015,2,True,False,False,False,False,False,False,False,False,36,33
57559064,246M12,57738,5752205.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,False,True,False,102,49
