id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos,media_faltas,media_alunos,APROVADO,APROVADO POR NOTA,REPROVADO POR MÃDIA E POR FALTAS,REPROVADO,CANCELADO,TRANCADO,REPROVADO POR NOTA,REPROVADO POR FALTAS,REPROVADO POR NOTA E FALTA,CUMPRIU,DESISTENCIA,TRANSFERIDO
1236064,24T12,23864,3032037.0,,GRADUAÇÃO,2014,2,False,False,False,False,True,False,False,False,False,72,31,0.0,5.5892857142857135,0.07142857142857142,0.8928571428571429,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230501,3M123 (05/08/2014 - 12/08/2014),53975,5756299.0,,GRADUAÇÃO,2014,2,False,False,False,False,False,False,True,True,False,6,13,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57576241,7M23 (01/02/2016 - 18/06/2016),52926,5756426.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,True,True,38,4,0.17543859649140003,7.583333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242501,2345T2345,21868,5756340.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,False,False,False,False,296,5,0.0,7.42,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229639,35T34,46905,5751847.0,,GRADUAÇÃO,2014,2,False,False,False,True,False,False,False,False,False,76,45,0.17796052631581,5.020000000000001,0.25,0.35,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57598545,23456M123456  23456T12345 (20/03/2017 - 14/05/2017),54741,5757487.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,396,4,0.0,8.425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228639,56M34 (21/07/2014 - 06/12/2014),55233,5752029.0,,GRADUAÇÃO,2014,2,False,False,False,False,False,False,True,False,False,72,11,0.0,7.827272727272725,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57575992,25M345 4M34 (01/02/2016 - 18/06/2016),58251,5751750.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,True,True,False,False,135,5,0.0,7.449999999999999,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57600355,3M123456 4M45  3T2345 (13/03/2017 - 07/04/2017),63860,5756244.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,48,8,0.1562500000000375,6.437499999999999,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221371,24T56,2049512,5754312.0,,GRADUAÇÃO,2014,1,False,False,True,False,False,False,False,False,False,66,16,0.13030303030298668,5.526666666666667,0.26666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224277,6N1234,46365,22790.0,,GRADUAÇÃO,2014,1,True,True,False,False,False,False,False,False,False,72,44,0.0,7.897368421052632,0.9473684210526315,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242530,2T1234 (02/02/2015 - 20/06/2015),49494,19048.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,76,25,0.157894736842096,6.74,0.6,0.28,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236937,2M34,2021404,3031587.0,,GRADUAÇÃO,2014,2,False,False,False,False,False,False,True,False,False,36,2,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57586169,2345M2345 (01/08/2016 - 06/12/2016),43725,17223.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,240,7,0.09583333333320002,7.887499999999999,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234175,24M345 (28/07/2014 - 26/09/2014),52523,17519.0,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,False,False,54,3,0.0,8.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217719,24T34,46953,5756349.0,,GRADUAÇÃO,2014,1,False,False,False,True,False,False,False,False,False,66,13,0.16883116883110713,6.65,0.7142857142857143,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57567746,35N12,46359,5757796.0,,GRADUAÇÃO,2015,2,False,True,False,False,False,False,False,False,False,78,41,0.061538461538455005,6.970000000000001,0.6,0.35,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57559461,5M5,54066,23181.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,False,False,False,18,10,0.23611111111120003,5.625,0.25,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241036,24T23,22437,5755520.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,76,12,0.16507177033480003,6.4,0.36363636363636365,0.5454545454545454,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57577690,24M2345 6M23  35T2345,21864,5752718.0,,GRADUAÇÃO,2016,1,False,False,True,True,True,True,True,True,False,306,7,0.056644880174233324,6.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57578503,2M234 3M2345 6M45,51463,5757718.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,True,True,True,False,156,31,0.13378825475595163,7.9,0.8064516129032258,0.03225806451612903,0.0,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57599870,45T12 (13/02/2017 - 01/07/2017),55230,24989.0,,GRADUAÇÃO,2017,1,False,False,False,False,True,False,False,False,False,74,7,0.0,8.771428571428572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217954,35M34 (27/01/2014 - 14/06/2014),52664,24853.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,False,True,False,False,72,21,0.05000000000003,5.749999999999998,0.65,0.15,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57600912,4M34  35T34 (13/02/2017 - 27/06/2017),57597,5752264.0,,GRADUAÇÃO,2017,1,False,False,False,True,False,False,True,False,False,108,28,0.039999999999999994,4.104,0.16,0.44,0.0,0.28,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239379,2345M34 (23/03/2015 - 18/06/2015),56851,5757242.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,True,False,False,92,6,0.014492753623183334,6.566666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241075,2N12 3N34,43045,5755973.0,,GRADUAÇÃO,2015,1,True,True,False,False,False,False,False,False,False,76,19,0.08552631578946666,7.533333333333335,0.8888888888888888,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57588127,5M12 (28/07/2016 - 24/11/2016),56262,5758035.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,36,29,0.0,6.98076923076923,0.7692307692307693,0.15384615384615385,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57578402,7M34  35N12 (01/02/2016 - 04/06/2016),57599,5756872.0,,GRADUAÇÃO,2016,1,False,True,False,False,False,False,True,False,True,84,24,0.068571428571444,2.448,0.0,0.28,0.0,0.6,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57565945,3T23,57635,5757390.0,,GRADUAÇÃO,2015,2,False,False,False,True,True,False,False,False,False,38,42,0.10776942355895719,6.2214285714285715,0.35714285714285715,0.5714285714285714,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57573685,6N1234,53911,5757739.0,,GRADUAÇÃO,2016,1,True,True,False,False,False,False,False,False,False,68,18,0.2904411764706875,4.79375,0.3125,0.3125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57565380,4M1234,46654,5756904.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,True,True,False,68,44,0.18507890961261947,6.256097560975609,0.4634146341463415,0.2682926829268293,0.0,0.12195121951219512,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57596193,3T1234,55975,25442.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,False,False,False,False,76,40,0.12162162162168111,4.835135135135135,0.05405405405405406,0.6486486486486487,0.0,0.21621621621621623,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57598709,2T1234,24813,5759149.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,False,False,False,False,72,13,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244500,36M34,58250,19617.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,True,False,False,68,49,0.0,7.802127659574469,0.8936170212765957,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57575197,35M34 (01/02/2016 - 18/06/2016),25658,5757205.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,False,False,72,7,0.0,4.921428571428572,0.5357142857142857,0.14285714285714285,0.0,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57598455,24N12,60756,20835.0,,GRADUAÇÃO,2017,1,False,True,False,False,False,False,False,False,False,70,22,0.0,4.295833333333333,0.041666666666666664,0.5833333333333334,0.0,0.2916666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57594548,2M5,54078,5755753.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,False,False,False,18,8,0.0,6.1499999999999995,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57565448,2M12 (14/09/2015 - 28/09/2015),56206,5757741.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,False,True,False,6,10,0.0,6.040000000000001,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57589947,35M34,62877,5756799.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,True,False,False,74,5,0.148648648648525,8.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
